,Date,Original,Corpus,Class
0,2003-12-09,consequence sales profits stock prices higher liquidation inventories appeared ending strengthening capital investment pickup hiring already evident data projected continue,consequence sale profit stock price high liquidation inventory appear end strengthen capital investment pickup hire already evident data project continue,-1
1,2003-12-09,even though unemployment rate projected decline coming quarters slight downward pressure core consumer price inflation anticipated forecast given ongoing slack resource utilization,even though unemployment rate project decline come quarter slight downward pressure core consumer price inflation anticipate forecast give ongoing slack resource utilization,-1
2,2003-12-09,assessments individual members likely pace expansion going forward differed somewhat generally expected growth run rate would trim slack labor goods markets forecast period assuming no major shocks economy,assessment individual member likely pace expansion go forward differ somewhat generally expect growth run rate would trim slack labor good market forecast period assume no major shock economy,-1
3,2003-12-09,downside risks outlook diminished members remained concerned spending could slow somewhat next year effects fiscal stimulus mortgage refinancing faded,downside risk outlook diminish member remain concerned spending could slow somewhat next year effect fiscal stimulus mortgage refinance fade,-1
4,2003-12-09,rapid productivity growth also could limit employment gains weigh consumer confidence,rapid productivity growth also could limit employment gain weigh consumer confidence,-1
5,2003-12-09,relatively strong economic growth nonetheless seemingly assured members regarded risks inflation nearly balanced earlier year,relatively strong economic growth nonetheless seemingly assure member regard risk inflation nearly balance earlier year,1
6,2003-12-09,comments recent developments around nation members reported improving economic conditions virtually regions strength household spending increasingly augmented gains business outlays,comment recent development around nation member report improve economic condition virtually region strength household spending increasingly augment gain business outlay,1
7,2003-12-09,consumer spending remained firm residential construction continued high level,consumer spending remain firm residential construction continued high level,1
8,2003-12-09,committee members business contacts generally expressed increasing confidence expansion would sustained anticipated increases investment outlays employment going forward,committee member business contact generally express increase confidence expansion would sustain anticipate increase investment outlay employment go forward,-1
9,2003-12-09,even manufacturing lagged recovery rest economy recently output rising many subsectors employment displayed signs stabilizing,even manufacturing lag recovery rest economy recently output rise many subsectors employment displayed sign stabilize,1
10,2003-12-09,members reported easing downward pressures prices selected industries anecdotal reports suggested competition including especially competition foreign producers continued constrain pricing,member report ease downward pressure price select industry anecdotal report suggest competition include especially competition foreign producer continued constrain pricing,-1
11,2003-12-09,comments outlook demand key sectors economy members indicated greater confidence sizable gains business spending recent quarters would continue,comment outlook demand key sector economy member indicate great confidence sizable gain business spending recent quarter would continue,1
12,2003-12-09,members noted commercial real estate sector weak high vacancy rates falling rents showing signs bottoming strengthening economy boosted demand office retail space,member note commercial real estate sector weak high vacancy rate fall rent show sign bottoming strengthen economy boost demand office retail space,1
13,2003-12-09,level inventories still quite low relative sales sales expected strengthen further number members noted inventory investment could expected contribute growth aggregate demand coming quarters,level inventory still quite low relative sale sale expect strengthen far number member note inventory investment could expect contribute growth aggregate demand come quarter,-1
14,2003-12-09,household spending remained solid even effects tax refunds mortgage refinancing boosted spending substantially summer waned,household spending remain solid even effect tax refund mortgage refinance boost spending substantially summer wan,1
15,2003-12-09,consumption spending slowed earlier fall retail contacts suggested strengthening recently reported holiday sales appeared running somewhat last years pace,consumption spending slow earlier fall retail contact suggest strengthen recently report holiday sale appear run somewhat last year pace,-1
16,2003-12-09,looking forward members anticipated consumer spending would supported gains employment well substantial tax refunds first half next year,look forward member anticipate consumer spending would support gain employment well substantial tax refund first half next year,1
17,2003-12-09,expansion picking momentum risk slowdown spending clearly seemed diminished,expansion pick momentum risk slowdown spending clearly seem diminish,-1
18,2003-12-09,members pointed however signs increased financial stress could limit ability many households hold spending recent levels especially incomes not rise robust pace line current forecasts,member point however sign increase financial stress could limit ability many household hold spending recent level especially income not rise robust pace line current forecast,-1
19,2003-12-09,members anticipated growth federal government spending boosted recent quarters buildup defense outlays would slow going forward budget pressures would continue limit increases state local spending,member anticipate growth federal government spending boost recent quarter buildup defense outlay would slow go forward budget pressure would continue limit increase state local spending,1
20,2003-12-09,longer horizon members expressed concern possible adverse effects deficits financial markets economy,longer horizon member express concern possible adverse effect deficit financial market economy,-1
21,2003-12-09,remarks external sector economy members noted improvement economic outlook many foreign economies well lower dollar likely foster pickup exports,remark external sector economy member note improvement economic outlook many foreign economy well low dollar likely foster pickup export,1
22,2003-12-09,improvement abroad probably result faster growth united states domestic demand several major trading partners appeared strengthening,improvement abroad probably result faster growth united state domestic demand several major trading partner appear strengthen,1
23,2003-12-09,nonetheless value us imports likely continue exceed exports wide margin resulting large current account deficits potential correction added uncertainty longer term prospects us economy,nonetheless value u import likely continue exceed export wide margin result large current account deficit potential correction add uncertainty longer term prospect u economy,-1
24,2003-12-09,review outlook prices members generally anticipated persisting though decreasing margins slack labor goods markets gains productivity would keep inflation low number members seeing small decline inflation distinct possibility,review outlook price member generally anticipate persist though decrease margin slack labor good market gain productivity would keep inflation low number member see small decline inflation distinct possibility,-1
25,2003-12-09,even growth proved fairly robust downward pressure prices could come narrowing profit margins currently quite high surprising strength productivity would reduce labor costs,even growth prove fairly robust downward pressure price could come narrow profit margin currently quite high surprising strength productivity would reduce labor cost,1
26,2003-12-09,however growth seen assured downward risks inflation viewed considerably reduced relative earlier year risk pernicious deflation declining prices reinforced weakness demand  risk members always viewed small  regarded virtually nil,however growth see assure downward risk inflation view considerably reduce relative earlier year risk pernicious deflation decline price reinforce weakness demand risk member always view small regard virtually nil,-1
27,2003-12-09,members also expressed concern potential increase inflation expectations given highly stimulative macroeconomic policies economic growth seemed gathering momentum,member also express concern potential increase inflation expectation give highly stimulative macroeconomic policy economic growth seem gathering momentum,1
28,2003-12-09,noted rise recent months inflation compensation measured difference yields nominal indexed treasury securities could potentially point direction,note rise recent month inflation compensation measure difference yield nominal indexed treasury security could potentially point direction,1
29,2003-12-09,nonetheless balance members currently considered upside risks inflation bit less pressing downside next quarters,nonetheless balance member currently consider upside risk inflation bit less press downside next quarter,-1
30,2003-12-09,data anecdotal evidence becoming available since last meeting made members confident robust growth economic activity would persist,data anecdotal evidence become available since last meeting make member confident robust growth economic activity would persist,1
31,2003-12-09,nonetheless felt currently accommodative policy stance remained appropriate period characterized low inflation wide margins unused labor resources still considerable uncertainty speed margins would worked down,nonetheless felt currently accommodative policy stance remain appropriate period characterize low inflation wide margin unused labor resource still considerable uncertainty speed margin would work down,1
32,2003-12-09,circumstances inflationary pressures appeared likely remain subdued well future,circumstance inflationary pressure appear likely remain subdue well future,-1
33,2003-12-09,sure committee needed remain attentive indications rising inflation pressures prepared adjust policy stance emerging economic conditions warranted move,sure committee need remain attentive indication rise inflation pressure prepared adjust policy stance emerge economic condition warrant move,1
34,2003-12-09,could agree risks disinflation substantially reduced close balance overall inflation,could agree risk disinflation substantially reduce close balance overall inflation,-1
35,2003-12-09,given decision retain reference question members saw merit associating clearly economic conditions specifically persistence quite low inflation slack resource use opposed appear linked passage time,give decision retain reference question member saw merit associate clearly economic condition specifically persistence quite low inflation slack resource use oppose appear link passage time,-1
36,2004-01-28,economy appeared expanded robust pace fourth quarter though well exceptional pace recorded third quarter,economy appear expand robust pace fourth quarter though well exceptional pace record third quarter,1
37,2004-01-28,consumer spending continued increase solid rate final three months year activity residential sector remained high level,consumer spending continued increase solid rate final three month year activity residential sector remain high level,1
38,2004-01-28,despite strong pace economic activity labor market improving slowly private payrolls showing small acceleration fourth quarter,despite strong pace economic activity labor market improve slowly private payroll show small acceleration fourth quarter,1
39,2004-01-28,core consumer price inflation continued slow inflation expectations remained subdued closing months ,core consumer price inflation continued slow inflation expectation remain subdue closing month,1
